Gemaakt op,Type locatie,Status,Feedback gevraagd,Kanaal,Locatie,Nummer,Type sluikstort,dichtstbijzijnde_adres,longitude,latitude,geo_punt
2023-04-21T13:32:49+02:00,Openbare weg,Afgerond - Uitgevoerd,1,Meldingsapp (sluikstortmeldingen),"{""Dichtstbijzijnde adres"": ""Emile Moysonlaan 66, 9000 Gent"", ""Longitude"": 3.7474875, ""Latitude"": 51.0483921}",MLD2319699,Zakken,"Emile Moysonlaan 66, 9000 Gent",3.7474875,51.0483921,"51.0483921, 3.7474875"
2023-04-21T15:10:33+02:00,Openbare weg,Afgerond - Uitgevoerd,0,Meldingsapp (sluikstortmeldingen),"{""Dichtstbijzijnde adres"": ""Hilarius Bertolfstraat 25, 9050 Gent"", ""Longitude"": 3.7461241, ""Latitude"": 51.0369405}",MLD2319708,Zakken,"Hilarius Bertolfstraat 25, 9050 Gent",3.7461241,51.0369405,"51.0369405, 3.7461241"
2023-04-21T15:18:53+02:00,Openbare weg,Afgerond - Uitgevoerd,0,Meldingsapp (sluikstortmeldingen),"{""Dichtstbijzijnde adres"": ""Centrumplein 50, 9050 Gent"", ""Longitude"": 3.740591, ""Latitude"": 51.035821}",MLD2319712,Zakken,"Centrumplein 50, 9050 Gent",3.740591,51.035821,"51.035821, 3.740591"
2023-04-21T16:33:32+02:00,Openbare weg,Afgerond - Uitgevoerd,0,Meldingsapp (sluikstortmeldingen),"{""Dichtstbijzijnde adres"": ""Dendermondsesteenweg 201, 9040 Gent"", ""Longitude"": 3.7455173, ""Latitude"": 51.0532034}",MLD2319735,Zakken,"Dendermondsesteenweg 201, 9040 Gent",3.7455173,51.0532034,"51.0532034, 3.7455173"
2023-04-21T19:32:45+02:00,Park of groenzone,Afgerond - Uitgevoerd,0,Webformulier (sluikstortmeldingen),"{""Locatie beschrijving"": ""Het gaat om een dode eend. Ze ligt op het grasveld tussen het wandelbrugje en de beweegtuin "", ""Dichtstbijzijnde adres"": ""Walstraat 1, 9050 Gent"", ""Longitude"": 3.749344385, ""Latitude"": 51.0346259981}",MLD2319769,Dode dieren,"Walstraat 1, 9050 Gent",3.749344385,51.0346259981,"51.0346259981, 3.749344385"
2023-04-22T08:29:58+02:00,Openbare weg,Afgerond - Uitgevoerd,1,Meldingsapp (sluikstortmeldingen),"{""Dichtstbijzijnde adres"": ""Land van Waaslaan 69, 9000 Gent"", ""Longitude"": 3.7438108529, ""Latitude"": 51.0578720347}",MLD2319774,Bouwafval,"Land van Waaslaan 69, 9000 Gent",3.7438108529,51.0578720347,"51.0578720347, 3.7438108529"
2023-04-22T08:30:28+02:00,Park of groenzone,Afgerond - Uitgevoerd,1,Meldingsapp (sluikstortmeldingen),"{""Dichtstbijzijnde adres"": ""Land van Waaslaan 47, 9000 Gent"", ""Longitude"": 3.7431027401, ""Latitude"": 51.0575936495}",MLD2319775,Zakken,"Land van Waaslaan 47, 9000 Gent",3.7431027401,51.0575936495,"51.0575936495, 3.7431027401"
2023-04-22T08:36:08+02:00,Parking of garageboxen,Afgerond - Uitgevoerd,0,Meldingsapp (sluikstortmeldingen),"{""Locatie beschrijving"": ""op de parking tussen de bomen"", ""Dichtstbijzijnde adres"": ""Phoenixstraat 109, 9000 Gent"", ""Longitude"": 3.7043313938, ""Latitude"": 51.0585207233}",MLD2319777,Zakken,"Phoenixstraat 109, 9000 Gent",3.7043313938,51.0585207233,"51.0585207233, 3.7043313938"
2023-04-22T09:51:08+02:00,Gracht of rivier,Afgerond - Uitgevoerd,1,Meldingsapp (sluikstortmeldingen),"{""Locatie beschrijving"": ""fransevaart naast werf project keizerpoort"", ""Dichtstbijzijnde adres"": ""Brusselsesteenweg 6, 9050 Gent"", ""Longitude"": 3.7404164671, ""Latitude"": 51.0413011346}",MLD2319780,Bouwafval,"Brusselsesteenweg 6, 9050 Gent",3.7404164671,51.0413011346,"51.0413011346, 3.7404164671"
2023-04-22T10:55:18+02:00,Openbare weg,Afgerond - Uitgevoerd,1,Meldingsapp (sluikstortmeldingen),"{""Locatie beschrijving"": ""tegenover huisnummer 1 en 3 \ndestelbergenstraat "", ""Dichtstbijzijnde adres"": ""Destelbergenstraat 14, 9040 Gent"", ""Longitude"": 3.7536282932, ""Latitude"": 51.0500492444}",MLD2319785,Meubilair;Zakken,"Destelbergenstraat 14, 9040 Gent",3.7536282932,51.0500492444,"51.0500492444, 3.7536282932"
